dataset,model,pred_len,seq_len,d_model,d_ff,e_layers,epochs,lr,mse,mae,avg_score,log_file
ETTh1,SimpleTM,96,96,512,2048,3,50,0.0001,0.37513184547424316,0.39426514506340027,0.3846984952688217,ETTh1_96_96_512_2048_e3_ep50_lr1e-4_SimpleTM.log
ETTh1,TimeMosaic,96,192,512,2048,5,50,0.0001,0.3590659499168396,0.3842530846595764,0.371659517288208,ETTh1_192_96_512_2048_e5_ep50_lr1e-4_TimeMosaic.log
ETTh1,SimpleTM,192,512,512,2048,3,50,0.0001,0.41179221868515015,0.428571879863739,0.4201820492744446,ETTh1_512_192_512_2048_e3_ep50_lr1e-4_SimpleTM.log
ETTh1,TimeMosaic,192,320,512,2048,1,50,0.0001,0.39634525775909424,0.4111332595348358,0.403739258646965,ETTh1_320_192_512_2048_e1_ep50_lr1e-4_TimeMosaic.log
ETTh1,SimpleTM,336,512,512,2048,3,50,0.0001,0.42943304777145386,0.4426901936531067,0.4360616207122803,ETTh1_512_336_512_2048_e3_ep50_lr1e-4_SimpleTM.log
ETTh1,TimeMosaic,336,512,16,64,3,50,0.001,0.41349348425865173,0.4283885657787323,0.420941025018692,ETTh1_512_336_16_64_e3_ep50_lr1e-3_TimeMosaic.log
ETTh1,SimpleTM,720,512,128,512,1,50,0.01,0.4472835659980774,0.47153568267822266,0.45940962433815,ETTh1_512_720_128_512_e1_ep50_lr1e-2_SimpleTM.log
ETTh1,TimeMosaic,720,512,16,64,3,50,0.01,0.4186689853668213,0.4449536204338074,0.43181130290031433,ETTh1_512_720_16_64_e3_ep50_lr1e-2_TimeMosaic.log
ETTh2,SimpleTM,96,96,512,2048,5,50,0.0001,0.29086247086524963,0.33863869309425354,0.3147505819797516,ETTh2_96_96_512_2048_e5_ep50_lr1e-4_SimpleTM.log
ETTh2,TimeMosaic,96,96,128,512,1,50,0.0001,0.28218117356300354,0.32948625087738037,0.30583371222019196,ETTh2_96_96_128_512_e1_ep50_lr1e-4_TimeMosaic.log
ETTh2,SimpleTM,192,512,16,64,3,50,0.001,0.34916776418685913,0.3899328410625458,0.36955030262470245,ETTh2_512_192_16_64_e3_ep50_lr1e-3_SimpleTM.log
ETTh2,TimeMosaic,192,320,128,512,1,50,0.0001,0.3416435122489929,0.3762214183807373,0.3589324653148651,ETTh2_320_192_128_512_e1_ep50_lr1e-4_TimeMosaic.log
ETTh2,SimpleTM,336,320,16,64,1,50,0.01,0.38106516003608704,0.4128996431827545,0.3969824016094208,ETTh2_320_336_16_64_e1_ep50_lr1e-2_SimpleTM.log
ETTh2,TimeMosaic,336,320,128,512,3,50,0.001,0.37004896998405457,0.3974210321903229,0.3837350010871887,ETTh2_320_336_128_512_e3_ep50_lr1e-3_TimeMosaic.log
ETTh2,SimpleTM,720,512,128,512,3,50,0.0001,0.4098983705043793,0.4420560896396637,0.4259772300720215,ETTh2_512_720_128_512_e3_ep50_lr1e-4_SimpleTM.log
ETTh2,TimeMosaic,720,320,128,512,1,50,0.001,0.3995555639266968,0.4283839464187622,0.4139697551727295,ETTh2_320_720_128_512_e1_ep50_lr1e-3_TimeMosaic.log
ETTm1,SimpleTM,96,512,512,2048,5,50,0.0001,0.2803669571876526,0.3371444642543793,0.30875571072101593,ETTm1_512_96_512_2048_e5_ep50_lr1e-4_SimpleTM.log
ETTm1,TimeMosaic,96,320,16,64,3,50,0.001,0.2821323573589325,0.328249454498291,0.30519090592861176,ETTm1_320_96_16_64_e3_ep50_lr1e-3_TimeMosaic.log
ETTm1,SimpleTM,192,320,512,2048,1,50,0.0001,0.32605570554733276,0.36462894082069397,0.34534232318401337,ETTm1_320_192_512_2048_e1_ep50_lr1e-4_SimpleTM.log
ETTm1,TimeMosaic,192,320,16,64,3,50,0.001,0.31840023398399353,0.3537304699420929,0.3360653519630432,ETTm1_320_192_16_64_e3_ep50_lr1e-3_TimeMosaic.log
ETTm1,SimpleTM,336,320,512,2048,1,50,0.0001,0.3618781566619873,0.38653528690338135,0.3742067217826843,ETTm1_320_336_512_2048_e1_ep50_lr1e-4_SimpleTM.log
ETTm1,TimeMosaic,336,320,16,64,1,50,0.01,0.35596728324890137,0.3739446699619293,0.36495597660541534,ETTm1_320_336_16_64_e1_ep50_lr1e-2_TimeMosaic.log
ETTm1,SimpleTM,720,512,16,64,1,50,0.01,0.4165427088737488,0.42227643728256226,0.4194095730781555,ETTm1_512_720_16_64_e1_ep50_lr1e-2_SimpleTM.log
ETTm1,TimeMosaic,720,320,16,64,3,50,0.01,0.4106317460536957,0.41209676861763,0.41136425733566284,ETTm1_320_720_16_64_e3_ep50_lr1e-2_TimeMosaic.log
ETTm2,SimpleTM,96,512,512,2048,5,50,0.0001,0.1683897078037262,0.2524808645248413,0.21043528616428375,ETTm2_512_96_512_2048_e5_ep50_lr1e-4_SimpleTM.log
ETTm2,TimeMosaic,96,512,16,64,5,50,0.0001,0.16051502525806427,0.2451210618019104,0.20281804352998734,ETTm2_512_96_16_64_e5_ep50_lr1e-4_TimeMosaic.log
ETTm2,SimpleTM,192,320,16,64,3,50,0.01,0.22336532175540924,0.29669836163520813,0.2600318416953087,ETTm2_320_192_16_64_e3_ep50_lr1e-2_SimpleTM.log
ETTm2,TimeMosaic,192,512,16,64,3,50,0.0001,0.21621763706207275,0.2836812436580658,0.24994944036006927,ETTm2_512_192_16_64_e3_ep50_lr1e-4_TimeMosaic.log
ETTm2,SimpleTM,336,320,128,512,5,50,0.001,0.2729189991950989,0.3280862867832184,0.30050264298915863,ETTm2_320_336_128_512_e5_ep50_lr1e-3_SimpleTM.log
ETTm2,TimeMosaic,336,512,16,64,3,50,0.0001,0.268908828496933,0.3176352381706238,0.2932720333337784,ETTm2_512_336_16_64_e3_ep50_lr1e-4_TimeMosaic.log
ETTm2,SimpleTM,720,320,128,512,3,50,0.0001,0.3683922588825226,0.3890953063964844,0.3787437826395035,ETTm2_320_720_128_512_e3_ep50_lr1e-4_SimpleTM.log
ETTm2,TimeMosaic,720,320,16,64,3,50,0.0001,0.35409072041511536,0.3731907606124878,0.3636407405138016,ETTm2_320_720_16_64_e3_ep50_lr1e-4_TimeMosaic.log
Exchange,TimeMosaic,96,96,16,64,5,50,0.001,0.08315092325210571,0.19972793757915497,0.14143943041563034,Exchange_96_96_16_64_e5_ep50_lr1e-3_TimeMosaic.log
Exchange,TimeMosaic,192,96,16,64,1,50,0.01,0.17386244237422943,0.2961943447589874,0.23502839356660843,Exchange_96_192_16_64_e1_ep50_lr1e-2_TimeMosaic.log
Exchange,TimeMosaic,336,192,512,2048,3,50,0.0001,0.3197398781776428,0.40893805027008057,0.3643389642238617,Exchange_192_336_512_2048_e3_ep50_lr1e-4_TimeMosaic.log
Exchange,TimeMosaic,720,320,128,512,3,50,0.0001,0.8326671719551086,0.6857162714004517,0.7591917216777802,Exchange_320_720_128_512_e3_ep50_lr1e-4_TimeMosaic.log
Weather,TimeMosaic,96,512,16,64,5,50,0.001,0.1465294510126114,0.1841946542263031,0.16536205261945724,Weather_512_96_16_64_e5_ep50_lr1e-3_TimeMosaic.log
Weather,TimeMosaic,192,320,16,64,5,50,0.001,0.19247470796108246,0.2275344580411911,0.21000458300113678,Weather_320_192_16_64_e5_ep50_lr1e-3_TimeMosaic.log
Weather,TimeMosaic,336,512,16,64,5,50,0.0001,0.24024148285388947,0.2696329355239868,0.25493720918893814,Weather_512_336_16_64_e5_ep50_lr1e-4_TimeMosaic.log
Weather,TimeMosaic,720,512,16,64,5,50,0.01,0.3146105706691742,0.3239315450191498,0.319271057844162,Weather_512_720_16_64_e5_ep50_lr1e-2_TimeMosaic.log
